File,Number of Operators,B+ Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,B+ Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,B+ Max Score,Secondary Max Score,B-Tree Max Score,Clustering Max Score
MathArticles/wpmath0000003/Algebra_homomorphism/15.xml,1,4481.060266494751,33528.154373168945,4376.024007797241,32933.88223648071,1,1,1,1,1,1,1,1
MathArticles/wpmath0000006/Current_(mathematics)/25.xml,16,578.5162448883057,183719.0170288086,609.5788478851318,182068.1507587433,0.6970307125594338,0.7842728803949235,0.6970307125594338,0.7842728803949235,1,1,1,1
MathArticles/wpmath0000013/Montgomery_curve/44.xml,2,9670.12357711792,44362.844944000244,9425.167083740234,44067.118883132935,0.7645051465030457,0.7960607666430648,0.7645051465030457,0.7960607666430648,1,1,1,1
MathArticles/wpmath0000003/Projective_variety/53.xml,3,325.12712478637695,2251.4705657958984,358.8740825653076,2079.019784927368,0.7162264316591616,0.8687814814322078,0.7162264316591616,0.8687814814322078,1,1,1,1
MathArticles/wpmath0000005/Diamond_cubic/4.xml,1,731.4016819000244,1859.8392009735107,750.0255107879639,1703.124761581421,1,1,1,1,1,1,1,1
MathArticles/wpmath0000008/Quantum_potential/58.xml,2,651.3059139251709,40657.32145309448,687.5054836273193,40204.644441604614,0.7574858542541469,0.9270833333333335,0.7574858542541469,0.9270833333333335,1,1,1,1
MathArticles/wpmath0000001/Parabola/90.xml,3,3123.6984729766846,65979.07972335815,2986.5970611572266,65275.04467964172,0.8742690058479532,0.8975563909774437,0.8742690058479532,0.8975563909774437,1,1,1,1
MathArticles/wpmath0000005/Tutte_theorem/18.xml,4,1013.7360095977783,8849.756956100464,1046.872615814209,8393.05567741394,0.896971078490475,1,0.896971078490475,1,1,1,1,1
MathArticles/wpmath0000003/Digamma_function/39.xml,17,808.2726001739502,65455.58547973633,828.6542892456055,64955.69968223572,0.5489294177412732,0.6395088799205073,0.5489294177412732,0.6395088799205073,1,1,1,1
MathArticles/wpmath0000003/Autoregressive_conditional_heteroskedasticity/74.xml,3,854.1316986083984,5158.8757038116455,796.8804836273193,4829.119682312012,0.6586919729206964,0.7815984645199762,0.6586919729206964,0.7815984645199762,1,1,1,1
MathArticles/wpmath0000002/Graded_ring/19.xml,4,1823.1894969940186,83247.51162528992,1797.2166538238525,82663.27357292175,0.7830192599620358,0.8612513555482395,0.7830192599620358,0.8612513555482395,1,1,1,1
MathArticles/wpmath0000006/Fluorescence_correlation_spectroscopy/12.xml,3,2621.4449405670166,67295.52388191223,2547.340154647827,66689.52965736389,1,1,1,1,1,1,1,1
MathArticles/wpmath0000007/Hyperelastic_material/58.xml,1,760.2808475494385,1406.5971374511719,781.2507152557373,1375.295639038086,1,1,1,1,1,1,1,1
MathArticles/wpmath0000016/Jade_Mirror_of_the_Four_Unknowns/13.xml,6,1980.0951480865479,28351.717948913574,2000.3986358642578,27992.15078353882,0.7965433261216098,0.7996248428860453,0.7965433261216098,0.7996248428860453,1,1,1,1
MathArticles/wpmath0000001/Natural_logarithm/61.xml,3,573.3797550201416,46730.36456108093,593.7459468841553,45090.13628959656,0.8954167670768585,0.9040227116469867,0.8954167670768585,0.9040227116469867,1,1,1,1
